id;code;date;objet;app_dg;datapp_dg
1;de crainte que grrr afin que;2024-03-19T17:40:29;juriste;bè approximativement;2024-03-19T21:06:33
2;tellement psitt boum;2024-03-20T06:03:16;svelte bien que;vouh cadre hausser;2024-03-19T22:20:25
3;accommoder que diététiste;2024-03-20T04:15:23;insolite insolite au-dedans de;ouch si totalement;2024-03-20T05:01:17
4;grandir grrr sous;2024-03-20T09:53:37;déployer incognito dès que;âcre au-dessus;2024-03-19T18:16:16
5;terriblement juriste à condition que;2024-03-20T05:29:24;restituer guère;population du Québec;2024-03-20T02:22:00
6;confronter vers de sorte que;2024-03-20T10:04:45;débile probablement;rêver;2024-03-19T15:53:54
7;boucher approximativement;2024-03-20T09:19:48;parlementaire de façon à au prix de;deçà concurrence;2024-03-19T12:54:01
8;en bas de;2024-03-19T14:35:49;régner malade ouch;hors apte;2024-03-20T00:09:18
9;tôt;2024-03-19T23:09:25;au-dessous de;innombrable ding réfléchir;2024-03-20T00:33:07
10;subito;2024-03-20T06:42:13;blablabla tellement ding;d’autant que tout à fait circulaire;2024-03-20T03:41:39
