id;code;date_debut;date_fin;date_retour
1;tsoin-tsoin avant que;2024-03-20T12:15:23;2024-03-19T16:14:55;2024-03-20T10:51:30
2;près sitôt que snif;2024-03-20T02:17:16;2024-03-19T17:41:10;2024-03-19T17:35:59
3;conseil d’administration présidence;2024-03-20T01:53:55;2024-03-20T08:56:38;2024-03-19T17:03:01
4;servir;2024-03-20T03:11:02;2024-03-20T01:06:30;2024-03-19T23:28:32
5;ramper;2024-03-19T22:01:42;2024-03-20T11:45:11;2024-03-19T23:20:35
6;à partir de après puis;2024-03-19T15:41:17;2024-03-20T01:27:26;2024-03-20T07:53:21
7;sitôt que devant dessous;2024-03-19T14:18:58;2024-03-19T16:01:13;2024-03-19T23:33:27
8;loin du moment que;2024-03-19T16:03:55;2024-03-19T16:01:40;2024-03-20T02:59:15
9;distraire;2024-03-20T02:20:20;2024-03-19T12:32:53;2024-03-19T14:15:46
10;apparemment aggraver à l'entour de;2024-03-20T00:15:05;2024-03-20T01:29:04;2024-03-19T13:20:12
