id;code;organisme;date_debut;date_fin;sens_mouvement;date_retour
1;revêtir;aïe ouille habiter;2024-03-20T05:30:19;2024-03-20T03:02:24;guide prestataire de services près;2024-03-19T12:37:22
2;après parfois beaucoup;avant de renverser;2024-03-19T18:42:52;2024-03-20T08:53:30;pauvre;2024-03-19T23:32:48
3;antagoniste;croâ;2024-03-20T06:23:25;2024-03-20T08:03:56;toc-toc;2024-03-19T19:20:37
4;retarder actionnaire proche;électorat équipe assez;2024-03-20T05:21:10;2024-03-19T16:41:27;communauté étudiante suivant;2024-03-19T18:42:55
5;quand;sincère comme atchoum;2024-03-20T03:23:38;2024-03-19T16:13:51;parlementaire de par;2024-03-19T12:32:04
6;un peu également;de peur que;2024-03-20T05:37:38;2024-03-20T05:23:31;ça;2024-03-20T12:13:58
7;corps enseignant soit;vouh diplomate snob;2024-03-19T21:22:43;2024-03-19T19:27:10;incalculable évaluer membre du personnel;2024-03-20T02:03:35
8;tchou tchouu direction gai;selon dynamique;2024-03-20T04:57:33;2024-03-20T04:05:21;dormir introduire;2024-03-20T00:56:33
9;efficace secouriste;deçà au-dessous de de peur que;2024-03-19T20:08:59;2024-03-20T09:59:01;devant;2024-03-20T12:06:38
10;dissiper vouh;foule triathlète;2024-03-20T09:46:54;2024-03-19T18:05:26;a;2024-03-19T14:14:04
